id,author,title,patentId,authorized,isDel
1,"崔展齐, 郑丽伟, 刘秀磊, 牛科",新版本程序缺陷检测方法及装置,2018103913486 ,1,0
2,"崔展齐, 郑丽伟, 马旭, 谢章伟",隐式编程规则过滤方法及装置,2018109534801 ,1,0
3,"贾明华, 崔展齐",一种基于复合蜕变关系的分类器测试方法及系统,2018114648802 ,1,0
4,"谢章伟, 刘剑, 李元, 杨睿其, 崔展齐",基于模拟执行的程序模糊测试方法及装置,2019102207767 ,1,0
5,"谢瑞麟, 崔展齐",一种深度随机森林程序的测试方法及设备,2019103435737 ,1,0
6,"蒋志文, 崔展齐, 郑怡亭, 胡川",一种大批量对抗样本生成方法及系统,2020100848088 ,0,0
7,"杨慧文, 崔展齐, 贾明华, 刘秀磊, 刘建宾, 郑丽伟",面向Solidity智能合约的缺陷预测方法,2020115620731 ,0,0
8,"李铮, 崔展齐, 刘建宾, 郑丽伟, 刘秀磊",一种基于频谱的深度神经网络缺陷定位方法及系统,2020111801456 ,1,0
9,"王浩仁, 崔展齐, 郑丽伟, 刘建宾, 刘秀磊",一种基于多候选程序的软件缺陷修复方法及装置,2021100267169 ,1,0
10,"吴欢欢, 崔展齐, 郑丽伟, 刘建宾",基于变异的深度神经网络模型修复方法,2021106394242 ,0,0
11,"潘建文, 崔展齐",一种恶意Android应用在线检测方法及装置,2021108455575 ,0,0
12,"金昊辰, 崔展齐",一种软件复制率度量方法,2022101028795 ,0,0
13,"林高毅, 崔展齐, 郑丽伟",控件层次关系图制导的Android应用错误复现方法,2022107464938 ,0,0
14,"张家铭, 崔展齐",一种面向持续集成过程的模糊测试方法,2022108509885 ,0,0
15,"崔展齐, 金昊宸, 郑丽伟",一种基于组合覆盖的循环代码模糊测试方法,2022110687155 ,0,0
16,"崔展齐, 杨慧文, 郑丽伟",一种映射关系制导的循环代码模糊测试方法,2022110687151 ,0,0
17,"崔展齐, 林高毅, 郑丽伟",一种Android应用运行时权限错误动态检测方法,2022115913110 ,0,0
18,"岳雷, 崔展齐, 郑丽伟",一种基于信息检索的语句级软件缺陷定位方法及系统,2022116213341 ,0,0
19,"谢瑞麟, 崔展齐, 李莉",基于可解释性分析的DNN模型差分测试方法及系统,2022116481951 ,0,0
20,"顾锡国, 崔展齐, 李莉, 郑丽伟",基于操作码指令聚类的智能合约漏洞检测方法及系统,2023101745646 ,0,0
21,"兰文尉, 黄晨, 于婷婷, 崔展齐",一种测试用例生成及模糊测试方法、系统及可存储介质,2024100997165 ,0,0
27,"崔展齐,顾锡国,李莉,郑丽伟",一种基于图注意力网络的智能合约漏洞检测方法及系统,2023116348682 ,0,0
28,"崔展齐, 乔塬心",一种基于对抗样本迁移的黑盒大语言模型测试方法,2024112402945 ,0,0
